sim_tema_palavras_agg_tipo,,01_tema_09_palavras,01_tema_09_palavras,01_tema_09_palavras,01_tema_09_palavras,01_tema_09_palavras,02_tema_08_palavras,02_tema_08_palavras,02_tema_08_palavras,02_tema_08_palavras,02_tema_08_palavras,03_tema_07_palavras,03_tema_07_palavras,03_tema_07_palavras,03_tema_07_palavras,03_tema_07_palavras,04_tema_06_palavras,04_tema_06_palavras,04_tema_06_palavras,04_tema_06_palavras,04_tema_06_palavras,05_tema_05_palavras,05_tema_05_palavras,05_tema_05_palavras,05_tema_05_palavras,05_tema_05_palavras,06_tema_04_palavras,06_tema_04_palavras,06_tema_04_palavras,06_tema_04_palavras,06_tema_04_palavras,07_tema_03_palavras,07_tema_03_palavras,07_tema_03_palavras,07_tema_03_palavras,07_tema_03_palavras,08_tema_02_palavras,08_tema_02_palavras,08_tema_02_palavras,08_tema_02_palavras,08_tema_02_palavras,09_tema_01_palavras,09_tema_01_palavras,09_tema_01_palavras,09_tema_01_palavras,09_tema_01_palavras
metric,,threshold,f1_macro_mean,f1_macro_std,f1_NAO_ALTO_mean_assoc,recall_NAO_ALTO_mean_assoc,threshold,f1_macro_mean,f1_macro_std,f1_NAO_ALTO_mean_assoc,recall_NAO_ALTO_mean_assoc,threshold,f1_macro_mean,f1_macro_std,f1_NAO_ALTO_mean_assoc,recall_NAO_ALTO_mean_assoc,threshold,f1_macro_mean,f1_macro_std,f1_NAO_ALTO_mean_assoc,recall_NAO_ALTO_mean_assoc,threshold,f1_macro_mean,f1_macro_std,f1_NAO_ALTO_mean_assoc,recall_NAO_ALTO_mean_assoc,threshold,f1_macro_mean,f1_macro_std,f1_NAO_ALTO_mean_assoc,recall_NAO_ALTO_mean_assoc,threshold,f1_macro_mean,f1_macro_std,f1_NAO_ALTO_mean_assoc,recall_NAO_ALTO_mean_assoc,threshold,f1_macro_mean,f1_macro_std,f1_NAO_ALTO_mean_assoc,recall_NAO_ALTO_mean_assoc,threshold,f1_macro_mean,f1_macro_std,f1_NAO_ALTO_mean_assoc,recall_NAO_ALTO_mean_assoc
chunk_agg_tipo,sources_agg_tipo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
max,025_todos,0.55,0.47183555914418296,0.15518245308564116,0.5956529125628433,0.6321609882440998,0.55,0.47374104277802626,0.15272786742844766,0.6227807899018591,0.6838364800630105,0.55,0.475066693449487,0.15919173196299896,0.6505384083559156,0.7337253992452354,0.55,0.46925674221068797,0.1542315196800305,0.6670213028378758,0.7711471974110652,0.55,0.4668393045818769,0.14885645874535558,0.6824526005710967,0.8031501875748934,0.5,0.47675277551699635,0.15173784103194443,0.5701218243246495,0.5817728794839976,0.5,0.4768193406192789,0.15004213715050227,0.594271591018134,0.6231640602909796,0.5,0.47746113503765686,0.1515046700882274,0.6114865974518958,0.6547498709453444,0.5,0.474867695712929,0.15507859247458888,0.6287006251322739,0.6875981540723044
max,02_producao_resumo_03_palavra_area,0.55,0.4674677423420476,0.1506852242320058,0.5930146140541248,0.6312348677457328,0.55,0.4749787285234671,0.15304662723762988,0.6272175935083996,0.6899056325003348,0.55,0.47268588602119027,0.1552175357621544,0.651094694539046,0.7370709199153989,0.55,0.46933083005546006,0.1526093653994461,0.6708169645616482,0.7783407385979801,0.5,0.4686267125503834,0.15400633490025134,0.5556513062770916,0.5617709007990099,0.5,0.47653334106518946,0.1494058820707645,0.5894120321833342,0.6164993528075198,0.5,0.47341849768619015,0.1492923926221652,0.6073925063599749,0.6494618046234808,0.5,0.47066090661433746,0.1502484719140822,0.6241796708597991,0.6823174773721858,0.5,0.4702316065312042,0.15206128154802354,0.6416176473137737,0.7163272424038057
max,03_producao_resumo_02_palavra_area,0.55,0.4693963955220967,0.1612109629867274,0.5879394279824307,0.621239756805074,0.55,0.47474342010815707,0.15984982670289072,0.6187472699653285,0.6736956136659723,0.55,0.47713067448226304,0.1579960592915653,0.6474302950573143,0.7251006171426688,0.55,0.4742986889400376,0.1579033720898876,0.6640249175609307,0.7615318962524096,0.55,0.4757422141277002,0.1484428505827419,0.6838865531258863,0.799534510393328,0.5,0.47520522472404525,0.15502648216199072,0.5476147829348217,0.5411621345319053,0.5,0.47750979792843645,0.1565528423980981,0.5711596519075788,0.5793809395366191,0.5,0.47963916263466133,0.15700248863138513,0.5938305647096714,0.6173294876760838,0.5,0.4799265330977006,0.15669700657866154,0.6092974723560333,0.6492827108844894
mean,025_todos,0.55,0.4554428573218457,0.15645525021026147,0.6737707072962555,0.7976338862543008,0.5,0.4651507469928344,0.1552263665854511,0.5670519439501325,0.5882722452117113,0.5,0.4674433590623891,0.15678972112506662,0.5975631616699635,0.6420248956505853,0.5,0.47232378068834696,0.15571712136701935,0.6321902256874864,0.7011072989655307,0.5,0.46862414931450846,0.14983177738574058,0.6516712680831803,0.7416362812211007,0.5,0.4611982313325824,0.15142391314321313,0.6670548822148338,0.7750978092914652,0.45,0.46402619398555983,0.15576996689570657,0.545791596332225,0.5502904217014707,0.45,0.4671841138703173,0.1516087331666918,0.571767313333024,0.5920648923800338,0.45,0.4669225505212159,0.14787341527660902,0.5948900750065172,0.6347033365477086
mean,02_producao_resumo_03_palavra_area,0.55,0.4578337490538584,0.15495184864124908,0.6584683428961146,0.7641676508911405,0.5,0.45998438014771864,0.15299616497589313,0.5502666713570191,0.5610051385946315,0.5,0.46595828368233,0.15362429269018718,0.5835646866064101,0.6166533475129222,0.5,0.46953899862687903,0.15326868058900833,0.6166172073021275,0.6743205668698381,0.5,0.4733071671304388,0.14986025378267093,0.6442023208366316,0.722638936649446,0.5,0.46243214778517144,0.14824630359399243,0.6573529919588106,0.7552371940801574,0.45,0.4627454452026384,0.1564097380106154,0.5446397470586261,0.5489314024820982,0.45,0.4656917267481789,0.15455368238056547,0.5680405382311843,0.5874757930434624,0.45,0.46498959779736376,0.1511770023690782,0.5912915940590809,0.6299335484658002
mean,03_producao_resumo_02_palavra_area,0.5,0.45983484084170645,0.16325462039702054,0.5497293579840634,0.5630340218817146,0.5,0.4662261174933582,0.16082978172595966,0.5854605585376217,0.6188811725291563,0.5,0.47123357624717355,0.1634353328227017,0.6145622834438681,0.6701792446603076,0.5,0.47030451590242806,0.15539874182028227,0.6401146916554651,0.7210629413260189,0.5,0.46663230493374613,0.15083262303393047,0.6632172165358776,0.7666154481684593,0.45,0.4604573972332294,0.15962813510975685,0.5154371643717309,0.5036420872149989,0.45,0.4687190051242387,0.15629628981939644,0.5495605126891318,0.5554045932846563,0.45,0.4699145388405964,0.15345015845983462,0.5755718706425433,0.5991206419971303,0.45,0.4692414537276605,0.14969250418419486,0.5975905579714923,0.6380756984719604
