sim_tema_palavras_agg_tipo,,01_tema_09_palavras,02_tema_08_palavras,03_tema_07_palavras,04_tema_06_palavras,05_tema_05_palavras,06_tema_04_palavras,07_tema_03_palavras,08_tema_02_palavras,09_tema_01_palavras
metric,,f1_macro_mean,f1_macro_mean,f1_macro_mean,f1_macro_mean,f1_macro_mean,f1_macro_mean,f1_macro_mean,f1_macro_mean,f1_macro_mean
chunk_agg_tipo,sources_agg_tipo,,,,,,,,,
max,025_todos,0.47183555914418296,0.47374104277802626,0.475066693449487,0.46925674221068797,0.4668393045818769,0.47675277551699635,0.4768193406192789,0.47746113503765686,0.474867695712929
max,02_producao_resumo_03_palavra_area,0.4674677423420476,0.4749787285234671,0.47268588602119027,0.46933083005546006,0.4686267125503834,0.47653334106518946,0.47341849768619015,0.47066090661433746,0.4702316065312042
max,03_producao_resumo_02_palavra_area,0.4693963955220967,0.47474342010815707,0.47713067448226304,0.4742986889400376,0.4757422141277002,0.47520522472404525,0.47750979792843645,0.47963916263466133,0.4799265330977006
mean,025_todos,0.4554428573218457,0.4651507469928344,0.4674433590623891,0.47232378068834696,0.46862414931450846,0.4611982313325824,0.46402619398555983,0.4671841138703173,0.4669225505212159
mean,02_producao_resumo_03_palavra_area,0.4578337490538584,0.45998438014771864,0.46595828368233,0.46953899862687903,0.4733071671304388,0.46243214778517144,0.4627454452026384,0.4656917267481789,0.46498959779736376
mean,03_producao_resumo_02_palavra_area,0.45983484084170645,0.4662261174933582,0.47123357624717355,0.47030451590242806,0.46663230493374613,0.4604573972332294,0.4687190051242387,0.4699145388405964,0.4692414537276605
