sim_tema_palavras_agg_tipo,,01_tema_09_palavras,01_tema_09_palavras,01_tema_09_palavras,02_tema_08_palavras,02_tema_08_palavras,02_tema_08_palavras,03_tema_07_palavras,03_tema_07_palavras,03_tema_07_palavras,04_tema_06_palavras,04_tema_06_palavras,04_tema_06_palavras,05_tema_05_palavras,05_tema_05_palavras,05_tema_05_palavras,06_tema_04_palavras,06_tema_04_palavras,06_tema_04_palavras,07_tema_03_palavras,07_tema_03_palavras,07_tema_03_palavras,08_tema_02_palavras,08_tema_02_palavras,08_tema_02_palavras,09_tema_01_palavras,09_tema_01_palavras,09_tema_01_palavras
metric,,f1_macro_mean,f1_macro_std,threshold,f1_macro_mean,f1_macro_std,threshold,f1_macro_mean,f1_macro_std,threshold,f1_macro_mean,f1_macro_std,threshold,f1_macro_mean,f1_macro_std,threshold,f1_macro_mean,f1_macro_std,threshold,f1_macro_mean,f1_macro_std,threshold,f1_macro_mean,f1_macro_std,threshold,f1_macro_mean,f1_macro_std,threshold
chunk_agg_tipo,sources_agg_tipo,,,,,,,,,,,,,,,,,,,,,,,,,,,
max,025_todos,0.47183555914418296,0.15518245308564116,0.55,0.47374104277802626,0.15272786742844766,0.55,0.475066693449487,0.15919173196299896,0.55,0.46925674221068797,0.1542315196800305,0.55,0.4668393045818769,0.14885645874535558,0.55,0.47675277551699635,0.15173784103194443,0.5,0.4768193406192789,0.15004213715050227,0.5,0.47746113503765686,0.1515046700882274,0.5,0.474867695712929,0.15507859247458888,0.5
max,02_producao_resumo_03_palavra_area,0.4674677423420476,0.1506852242320058,0.55,0.4749787285234671,0.15304662723762988,0.55,0.47268588602119027,0.1552175357621544,0.55,0.46933083005546006,0.1526093653994461,0.55,0.4686267125503834,0.15400633490025134,0.5,0.47653334106518946,0.1494058820707645,0.5,0.47341849768619015,0.1492923926221652,0.5,0.47066090661433746,0.1502484719140822,0.5,0.4702316065312042,0.15206128154802354,0.5
max,03_producao_resumo_02_palavra_area,0.4693963955220967,0.1612109629867274,0.55,0.47474342010815707,0.15984982670289072,0.55,0.47713067448226304,0.1579960592915653,0.55,0.4742986889400376,0.1579033720898876,0.55,0.4757422141277002,0.1484428505827419,0.55,0.47520522472404525,0.15502648216199072,0.5,0.47750979792843645,0.1565528423980981,0.5,0.47963916263466133,0.15700248863138513,0.5,0.4799265330977006,0.15669700657866154,0.5
mean,025_todos,0.4554428573218457,0.15645525021026147,0.55,0.4651507469928344,0.1552263665854511,0.5,0.4674433590623891,0.15678972112506662,0.5,0.47232378068834696,0.15571712136701935,0.5,0.46862414931450846,0.14983177738574058,0.5,0.4611982313325824,0.15142391314321313,0.5,0.46402619398555983,0.15576996689570657,0.45,0.4671841138703173,0.1516087331666918,0.45,0.4669225505212159,0.14787341527660902,0.45
mean,02_producao_resumo_03_palavra_area,0.4578337490538584,0.15495184864124908,0.55,0.45998438014771864,0.15299616497589313,0.5,0.46595828368233,0.15362429269018718,0.5,0.46953899862687903,0.15326868058900833,0.5,0.4733071671304388,0.14986025378267093,0.5,0.46243214778517144,0.14824630359399243,0.5,0.4627454452026384,0.1564097380106154,0.45,0.4656917267481789,0.15455368238056547,0.45,0.46498959779736376,0.1511770023690782,0.45
mean,03_producao_resumo_02_palavra_area,0.45983484084170645,0.16325462039702054,0.5,0.4662261174933582,0.16082978172595966,0.5,0.47123357624717355,0.1634353328227017,0.5,0.47030451590242806,0.15539874182028227,0.5,0.46663230493374613,0.15083262303393047,0.5,0.4604573972332294,0.15962813510975685,0.45,0.4687190051242387,0.15629628981939644,0.45,0.4699145388405964,0.15345015845983462,0.45,0.4692414537276605,0.14969250418419486,0.45
