sim_tema_palavras_agg_tipo,,01_tema_09_palavras,01_tema_09_palavras,01_tema_09_palavras,01_tema_09_palavras,01_tema_09_palavras,02_tema_08_palavras,02_tema_08_palavras,02_tema_08_palavras,02_tema_08_palavras,02_tema_08_palavras,03_tema_07_palavras,03_tema_07_palavras,03_tema_07_palavras,03_tema_07_palavras,03_tema_07_palavras,04_tema_06_palavras,04_tema_06_palavras,04_tema_06_palavras,04_tema_06_palavras,04_tema_06_palavras,05_tema_05_palavras,05_tema_05_palavras,05_tema_05_palavras,05_tema_05_palavras,05_tema_05_palavras,06_tema_04_palavras,06_tema_04_palavras,06_tema_04_palavras,06_tema_04_palavras,06_tema_04_palavras,07_tema_03_palavras,07_tema_03_palavras,07_tema_03_palavras,07_tema_03_palavras,07_tema_03_palavras,08_tema_02_palavras,08_tema_02_palavras,08_tema_02_palavras,08_tema_02_palavras,08_tema_02_palavras,09_tema_01_palavras,09_tema_01_palavras,09_tema_01_palavras,09_tema_01_palavras,09_tema_01_palavras
metric,,threshold,f1_macro_mean,f1_macro_std,f1_ALTO_mean_assoc,recall_ALTO_mean_assoc,threshold,f1_macro_mean,f1_macro_std,f1_ALTO_mean_assoc,recall_ALTO_mean_assoc,threshold,f1_macro_mean,f1_macro_std,f1_ALTO_mean_assoc,recall_ALTO_mean_assoc,threshold,f1_macro_mean,f1_macro_std,f1_ALTO_mean_assoc,recall_ALTO_mean_assoc,threshold,f1_macro_mean,f1_macro_std,f1_ALTO_mean_assoc,recall_ALTO_mean_assoc,threshold,f1_macro_mean,f1_macro_std,f1_ALTO_mean_assoc,recall_ALTO_mean_assoc,threshold,f1_macro_mean,f1_macro_std,f1_ALTO_mean_assoc,recall_ALTO_mean_assoc,threshold,f1_macro_mean,f1_macro_std,f1_ALTO_mean_assoc,recall_ALTO_mean_assoc,threshold,f1_macro_mean,f1_macro_std,f1_ALTO_mean_assoc,recall_ALTO_mean_assoc
chunk_agg_tipo,sources_agg_tipo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
max,025_todos,0.55,0.47183555914418296,0.15518245308564116,0.3480182057255226,0.40579187300635416,0.55,0.47374104277802626,0.15272786742844766,0.32470129565419326,0.3608635106310639,0.55,0.475066693449487,0.15919173196299896,0.2995949785430585,0.3150193042441385,0.55,0.46925674221068797,0.1542315196800305,0.27149218158350014,0.2723927530782613,0.55,0.4668393045818769,0.14885645874535558,0.25122600859265715,0.24221896409423277,0.5,0.47675277551699635,0.15173784103194443,0.3833837267093432,0.47580466959621925,0.5,0.4768193406192789,0.15004213715050227,0.35936709022042373,0.42575458158264345,0.5,0.47746113503765686,0.1515046700882274,0.34343567262341784,0.3958813060216443,0.5,0.474867695712929,0.15507859247458888,0.32103476629358424,0.3576931759820922
max,02_producao_resumo_03_palavra_area,0.55,0.4674677423420476,0.1506852242320058,0.34192087062997045,0.39635427639383547,0.55,0.4749787285234671,0.15304662723762988,0.3227398635385347,0.35254005386615517,0.55,0.47268588602119027,0.1552175357621544,0.2942770775033345,0.30524838664378756,0.55,0.46933083005546006,0.1526093653994461,0.2678446955492719,0.2652502352483948,0.5,0.4686267125503834,0.15400633490025134,0.3816021188236752,0.4812567227460361,0.5,0.47653334106518946,0.1494058820707645,0.3636546499470448,0.43598965338922485,0.5,0.47341849768619015,0.1492923926221652,0.3394444890124054,0.39289701007213723,0.5,0.47066090661433746,0.1502484719140822,0.3171421423688758,0.3522283440178028,0.5,0.4702316065312042,0.15206128154802354,0.2988455657486348,0.3228878807851145
max,03_producao_resumo_02_palavra_area,0.55,0.4693963955220967,0.1612109629867274,0.35085336306176274,0.4152605982250343,0.55,0.47474342010815707,0.15984982670289072,0.3307395702509857,0.37337321009730323,0.55,0.47713067448226304,0.1579960592915653,0.3068310539072118,0.33103031361587015,0.55,0.4742986889400376,0.1579033720898876,0.2845724603191446,0.29196004893151084,0.55,0.4757422141277002,0.1484428505827419,0.2675978751295141,0.2605075357997478,0.5,0.47520522472404525,0.15502648216199072,0.4027956665132688,0.5178799156876118,0.5,0.47750979792843645,0.1565528423980981,0.38385994394929396,0.4750647685587423,0.5,0.47963916263466133,0.15700248863138513,0.3654477605596513,0.4348784073631951,0.5,0.4799265330977006,0.15669700657866154,0.35055559383936796,0.4047101891423954
mean,025_todos,0.55,0.4554428573218457,0.15645525021026147,0.23711500734743587,0.22932601656839607,0.5,0.4651507469928344,0.1552263665854511,0.36324955003553633,0.44701681656537035,0.5,0.4674433590623891,0.15678972112506662,0.3373235564548147,0.39424219784261966,0.5,0.47232378068834696,0.15571712136701935,0.3124573356892074,0.34385949611510497,0.5,0.46862414931450846,0.14983177738574058,0.28557703054583655,0.3000791618067363,0.5,0.4611982313325824,0.15142391314321313,0.255341580450331,0.2565780108232022,0.45,0.46402619398555983,0.15576996689570657,0.3822607916388946,0.48729935084570214,0.45,0.4671841138703173,0.1516087331666918,0.36260091440761066,0.4437817204323632,0.45,0.4669225505212159,0.14787341527660902,0.33895502603591454,0.39617489303676257
mean,02_producao_resumo_03_palavra_area,0.55,0.4578337490538584,0.15495184864124908,0.2571991552116022,0.25910012229080576,0.5,0.45998438014771864,0.15299616497589313,0.36970208893841816,0.4655373886530876,0.5,0.46595828368233,0.15362429269018718,0.34835188075824985,0.41604555057857456,0.5,0.46953899862687903,0.15326868058900833,0.3224607899516306,0.3616607475249825,0.5,0.4733071671304388,0.14986025378267093,0.30241201342424606,0.32513372492715575,0.5,0.46243214778517144,0.14824630359399243,0.26751130361153236,0.27928636145869984,0.45,0.4627454452026384,0.1564097380106154,0.3808511433466507,0.4868813192668514,0.45,0.4656917267481789,0.15455368238056547,0.36334291526517326,0.4459322113739527,0.45,0.46498959779736376,0.1511770023690782,0.33868760153564653,0.4001337844390307
mean,03_producao_resumo_02_palavra_area,0.5,0.45983484084170645,0.16325462039702054,0.3699403236993494,0.4618306644327292,0.5,0.4662261174933582,0.16082978172595966,0.34699167644909473,0.41573883317926275,0.5,0.47123357624717355,0.1634353328227017,0.3279048690504791,0.3728028878780597,0.5,0.47030451590242806,0.15539874182028227,0.3004943401493911,0.32082428877702324,0.5,0.46663230493374613,0.15083262303393047,0.27004739333161465,0.2712300059104045,0.45,0.4604573972332294,0.15962813510975685,0.4054776300947278,0.5388582266952768,0.45,0.4687190051242387,0.15629628981939644,0.3878774975593456,0.48969946623662336,0.45,0.4699145388405964,0.15345015845983462,0.3642572070386495,0.44349330445962676,0.45,0.4692414537276605,0.14969250418419486,0.3408923494838287,0.3977916615438693
