sim_tema_palavras_agg_tipo,,01_tema_09_palavras,02_tema_08_palavras,03_tema_07_palavras,04_tema_06_palavras,05_tema_05_palavras,06_tema_04_palavras,07_tema_03_palavras,08_tema_02_palavras,09_tema_01_palavras
metric,,f1_ALTO_mean_assoc,f1_ALTO_mean_assoc,f1_ALTO_mean_assoc,f1_ALTO_mean_assoc,f1_ALTO_mean_assoc,f1_ALTO_mean_assoc,f1_ALTO_mean_assoc,f1_ALTO_mean_assoc,f1_ALTO_mean_assoc
chunk_agg_tipo,sources_agg_tipo,,,,,,,,,
max,025_todos,0.34720329750142087,0.444948366005516,0.4341454263979556,0.40878735395340526,0.38735381266680197,0.3701357757483298,0.4546196878190434,0.4441294314046104,0.42873248365732936
max,02_producao_resumo_03_palavra_area,0.34127390361617527,0.43758999033931323,0.42283675560465145,0.39906685899445804,0.37314945031533303,0.46094672076093685,0.4415536408429435,0.426085662019845,0.40618580151326034
max,03_producao_resumo_02_palavra_area,0.34683615827483866,0.45274639500044134,0.4405023185374453,0.42583737462760324,0.40876911184513537,0.3856933389490352,0.36237027142296147,0.45739366230659556,0.4450858826937162
mean,025_todos,0.37877247024234884,0.35611043024064576,0.33531711722781865,0.43729785921500136,0.4160153604291524,0.3922328797812999,0.3677544559436799,0.3472332827501271,0.4317635802613761
mean,02_producao_resumo_03_palavra_area,0.39245589728951064,0.3676480846555989,0.34032435254581433,0.43804515300842817,0.421629350634225,0.39287249719570166,0.36862646779584546,0.3517948751389797,0.4272733559295608
mean,03_producao_resumo_02_palavra_area,0.369792911618298,0.34448710515188113,0.4460756420301626,0.4321721126008641,0.4103423750028201,0.38994890338167143,0.37041161006516454,0.34748174873004334,0.43544438272500163
