sim_tema_palavras_agg_tipo,,01_tema_09_palavras,01_tema_09_palavras,01_tema_09_palavras,02_tema_08_palavras,02_tema_08_palavras,02_tema_08_palavras,03_tema_07_palavras,03_tema_07_palavras,03_tema_07_palavras,04_tema_06_palavras,04_tema_06_palavras,04_tema_06_palavras,05_tema_05_palavras,05_tema_05_palavras,05_tema_05_palavras,06_tema_04_palavras,06_tema_04_palavras,06_tema_04_palavras,07_tema_03_palavras,07_tema_03_palavras,07_tema_03_palavras,08_tema_02_palavras,08_tema_02_palavras,08_tema_02_palavras,09_tema_01_palavras,09_tema_01_palavras,09_tema_01_palavras
metric,,f1_macro_mean,f1_macro_std,threshold,f1_macro_mean,f1_macro_std,threshold,f1_macro_mean,f1_macro_std,threshold,f1_macro_mean,f1_macro_std,threshold,f1_macro_mean,f1_macro_std,threshold,f1_macro_mean,f1_macro_std,threshold,f1_macro_mean,f1_macro_std,threshold,f1_macro_mean,f1_macro_std,threshold,f1_macro_mean,f1_macro_std,threshold
chunk_agg_tipo,sources_agg_tipo,,,,,,,,,,,,,,,,,,,,,,,,,,,
max,025_todos,0.5163315412979345,0.17172852852601972,0.6,0.5241704464557186,0.17484522711108016,0.55,0.5340003925592899,0.16770104553004173,0.55,0.5296348467531652,0.16977106361567385,0.55,0.5275645869003529,0.16755815891518583,0.55,0.5253953381030794,0.16280753817319135,0.55,0.5238496732775756,0.17230977709014655,0.5,0.5284427875337653,0.17664757448130727,0.5,0.5268577818192021,0.1744289775586286,0.5
max,02_producao_resumo_03_palavra_area,0.5118251586137804,0.17054794387132555,0.6,0.5223448972722894,0.1684293959736988,0.55,0.5288686601134165,0.16664086163283737,0.55,0.5248075186004229,0.1682318763186135,0.55,0.5195224382229399,0.16261700653445627,0.55,0.5209807054685349,0.16387131717815814,0.5,0.5215756808129876,0.16898899802126116,0.5,0.5233204300184015,0.1701053455272039,0.5,0.5209607721936588,0.16909298821289756,0.5
max,03_producao_resumo_02_palavra_area,0.517259881246225,0.17002988161412802,0.6,0.5247848819259957,0.1747488701013832,0.55,0.5331221828583771,0.17251114813290402,0.55,0.5369337596648277,0.17245135022105307,0.55,0.5367078776668425,0.173222334466915,0.55,0.5312397830914447,0.17244496168124906,0.55,0.523607011628126,0.16732193542864876,0.55,0.5273763259299624,0.1803297912233081,0.5,0.5286119590789565,0.17881954886847998,0.5
mean,025_todos,0.5156710461129413,0.17037818820291684,0.55,0.5149098598475812,0.17018675236944342,0.55,0.5136367091109553,0.16637484641465897,0.55,0.5241103815516883,0.17209794929272357,0.5,0.525051322296179,0.1724221887681743,0.5,0.5224150849840798,0.16790423692602913,0.5,0.5161829186755323,0.16481324730310432,0.5,0.5131458535026446,0.16587917830240115,0.5,0.5122120010237127,0.1708412471195694,0.45
mean,02_producao_resumo_03_palavra_area,0.5138703807377263,0.1734435485014791,0.55,0.5138240177808333,0.16492344564227218,0.55,0.5084891629111886,0.16336382437544011,0.55,0.5184361853812776,0.17139805801147767,0.5,0.5224502856066751,0.16842349070689963,0.5,0.517298433666375,0.16822306988304742,0.5,0.5124341521465997,0.1638452297307272,0.5,0.5114755242497327,0.16255390752932566,0.5,0.50716581136563,0.16854709307123003,0.45
mean,03_producao_resumo_02_palavra_area,0.5216424750630699,0.1722220783601412,0.55,0.5154259808363066,0.16984266625189093,0.55,0.5206362739611581,0.1745618332495766,0.5,0.5252981499625536,0.17461726912091605,0.5,0.5275437598492724,0.16913479038942114,0.5,0.5252455375370634,0.17067184358956103,0.5,0.5225870419339488,0.1677219862681819,0.5,0.5160698765222952,0.16729190692948756,0.5,0.5172376044185205,0.17281459282436232,0.45
