sim_tema_palavras_agg_tipo,,01_tema_09_palavras,02_tema_08_palavras,03_tema_07_palavras,04_tema_06_palavras,05_tema_05_palavras,06_tema_04_palavras,07_tema_03_palavras,08_tema_02_palavras,09_tema_01_palavras
metric,,f1_NAO_ALTO_mean_assoc,f1_NAO_ALTO_mean_assoc,f1_NAO_ALTO_mean_assoc,f1_NAO_ALTO_mean_assoc,f1_NAO_ALTO_mean_assoc,f1_NAO_ALTO_mean_assoc,f1_NAO_ALTO_mean_assoc,f1_NAO_ALTO_mean_assoc,f1_NAO_ALTO_mean_assoc
chunk_agg_tipo,sources_agg_tipo,,,,,,,,,
max,025_todos,0.5956529125628433,0.6227807899018591,0.6505384083559156,0.6670213028378758,0.6824526005710967,0.5701218243246495,0.594271591018134,0.6114865974518958,0.6287006251322739
max,02_producao_resumo_03_palavra_area,0.5930146140541248,0.6272175935083996,0.651094694539046,0.6708169645616482,0.5556513062770916,0.5894120321833342,0.6073925063599749,0.6241796708597991,0.6416176473137737
max,03_producao_resumo_02_palavra_area,0.5879394279824307,0.6187472699653285,0.6474302950573143,0.6640249175609307,0.6838865531258863,0.5476147829348217,0.5711596519075788,0.5938305647096714,0.6092974723560333
mean,025_todos,0.6737707072962555,0.5670519439501325,0.5975631616699635,0.6321902256874864,0.6516712680831803,0.6670548822148338,0.545791596332225,0.571767313333024,0.5948900750065172
mean,02_producao_resumo_03_palavra_area,0.6584683428961146,0.5502666713570191,0.5835646866064101,0.6166172073021275,0.6442023208366316,0.6573529919588106,0.5446397470586261,0.5680405382311843,0.5912915940590809
mean,03_producao_resumo_02_palavra_area,0.5497293579840634,0.5854605585376217,0.6145622834438681,0.6401146916554651,0.6632172165358776,0.5154371643717309,0.5495605126891318,0.5755718706425433,0.5975905579714923
