sim_tema_palavras_agg_tipo,,01_tema_09_palavras,02_tema_08_palavras,03_tema_07_palavras,04_tema_06_palavras,05_tema_05_palavras,06_tema_04_palavras,07_tema_03_palavras,08_tema_02_palavras,09_tema_01_palavras
metric,,f1_macro_std,f1_macro_std,f1_macro_std,f1_macro_std,f1_macro_std,f1_macro_std,f1_macro_std,f1_macro_std,f1_macro_std
chunk_agg_tipo,sources_agg_tipo,,,,,,,,,
max,025_todos,0.15518245308564116,0.15272786742844766,0.15919173196299896,0.1542315196800305,0.14885645874535558,0.15173784103194443,0.15004213715050227,0.1515046700882274,0.15507859247458888
max,02_producao_resumo_03_palavra_area,0.1506852242320058,0.15304662723762988,0.1552175357621544,0.1526093653994461,0.15400633490025134,0.1494058820707645,0.1492923926221652,0.1502484719140822,0.15206128154802354
max,03_producao_resumo_02_palavra_area,0.1612109629867274,0.15984982670289072,0.1579960592915653,0.1579033720898876,0.1484428505827419,0.15502648216199072,0.1565528423980981,0.15700248863138513,0.15669700657866154
mean,025_todos,0.15645525021026147,0.1552263665854511,0.15678972112506662,0.15571712136701935,0.14983177738574058,0.15142391314321313,0.15576996689570657,0.1516087331666918,0.14787341527660902
mean,02_producao_resumo_03_palavra_area,0.15495184864124908,0.15299616497589313,0.15362429269018718,0.15326868058900833,0.14986025378267093,0.14824630359399243,0.1564097380106154,0.15455368238056547,0.1511770023690782
mean,03_producao_resumo_02_palavra_area,0.16325462039702054,0.16082978172595966,0.1634353328227017,0.15539874182028227,0.15083262303393047,0.15962813510975685,0.15629628981939644,0.15345015845983462,0.14969250418419486
