sim_tema_palavras_agg_tipo,,01_tema_09_palavras,02_tema_08_palavras,03_tema_07_palavras,04_tema_06_palavras,05_tema_05_palavras,06_tema_04_palavras,07_tema_03_palavras,08_tema_02_palavras,09_tema_01_palavras
metric,,f1_ALTO_mean_assoc,f1_ALTO_mean_assoc,f1_ALTO_mean_assoc,f1_ALTO_mean_assoc,f1_ALTO_mean_assoc,f1_ALTO_mean_assoc,f1_ALTO_mean_assoc,f1_ALTO_mean_assoc,f1_ALTO_mean_assoc
chunk_agg_tipo,sources_agg_tipo,,,,,,,,,
max,025_todos,0.3480182057255226,0.32470129565419326,0.2995949785430585,0.27149218158350014,0.25122600859265715,0.3833837267093432,0.35936709022042373,0.34343567262341784,0.32103476629358424
max,02_producao_resumo_03_palavra_area,0.34192087062997045,0.3227398635385347,0.2942770775033345,0.2678446955492719,0.3816021188236752,0.3636546499470448,0.3394444890124054,0.3171421423688758,0.2988455657486348
max,03_producao_resumo_02_palavra_area,0.35085336306176274,0.3307395702509857,0.3068310539072118,0.2845724603191446,0.2675978751295141,0.4027956665132688,0.38385994394929396,0.3654477605596513,0.35055559383936796
mean,025_todos,0.23711500734743587,0.36324955003553633,0.3373235564548147,0.3124573356892074,0.28557703054583655,0.255341580450331,0.3822607916388946,0.36260091440761066,0.33895502603591454
mean,02_producao_resumo_03_palavra_area,0.2571991552116022,0.36970208893841816,0.34835188075824985,0.3224607899516306,0.30241201342424606,0.26751130361153236,0.3808511433466507,0.36334291526517326,0.33868760153564653
mean,03_producao_resumo_02_palavra_area,0.3699403236993494,0.34699167644909473,0.3279048690504791,0.3004943401493911,0.27004739333161465,0.4054776300947278,0.3878774975593456,0.3642572070386495,0.3408923494838287
