chunk_agg_type,source_agg_name,theme_keywords_agg_name,emissions_kg,duration_seconds,start_time,end_time,filename
mean,02_producao_resumo_03_palavra_area,07_tema_03_palavras,2.7617440937475927e-05,86.984737,2025-09-06T15:10:05.794381,2025-09-06T15:11:32.779118,metricas_por_tema__chunk-mean__campos-02_producao_resumo_03_palavra_area__simtema-07_tema_03_palavras_miniLM.parquet
mean,02_producao_resumo_03_palavra_area,08_tema_02_palavras,2.7615758826176146e-05,87.131438,2025-09-06T15:11:37.903076,2025-09-06T15:13:05.034514,metricas_por_tema__chunk-mean__campos-02_producao_resumo_03_palavra_area__simtema-08_tema_02_palavras_miniLM.parquet
mean,02_producao_resumo_03_palavra_area,09_tema_01_palavras,2.7645316327969075e-05,87.180349,2025-09-06T15:13:10.308242,2025-09-06T15:14:37.488591,metricas_por_tema__chunk-mean__campos-02_producao_resumo_03_palavra_area__simtema-09_tema_01_palavras_miniLM.parquet
max,025_todos,01_tema_09_palavras,2.9199766630098755e-05,89.732676,2025-09-06T15:14:55.517569,2025-09-06T15:16:25.250245,metricas_por_tema__chunk-max__campos-025_todos__simtema-01_tema_09_palavras_miniLM.parquet
max,025_todos,02_tema_08_palavras,6.82837108556526e-07,88.177037,2025-09-06T15:16:31.344138,2025-09-06T15:17:59.521175,metricas_por_tema__chunk-max__campos-025_todos__simtema-02_tema_08_palavras_miniLM.parquet
max,025_todos,03_tema_07_palavras,2.7959547579056677e-05,87.778078,2025-09-06T15:18:04.535085,2025-09-06T15:19:32.313163,metricas_por_tema__chunk-max__campos-025_todos__simtema-03_tema_07_palavras_miniLM.parquet
max,025_todos,04_tema_06_palavras,2.8077443245217015e-05,87.881956,2025-09-06T15:19:37.386313,2025-09-06T15:21:05.268269,metricas_por_tema__chunk-max__campos-025_todos__simtema-04_tema_06_palavras_miniLM.parquet
max,025_todos,05_tema_05_palavras,2.8339013726322244e-05,88.464186,2025-09-06T15:21:10.532455,2025-09-06T15:22:38.996641,metricas_por_tema__chunk-max__campos-025_todos__simtema-05_tema_05_palavras_miniLM.parquet
max,025_todos,06_tema_04_palavras,2.7947385520140797e-05,87.52223,2025-09-06T15:22:44.326793,2025-09-06T15:24:11.849023,metricas_por_tema__chunk-max__campos-025_todos__simtema-06_tema_04_palavras_miniLM.parquet
max,025_todos,07_tema_03_palavras,2.76147905379399e-05,86.774142,2025-09-06T15:24:16.953437,2025-09-06T15:25:43.727579,metricas_por_tema__chunk-max__campos-025_todos__simtema-07_tema_03_palavras_miniLM.parquet
max,025_todos,08_tema_02_palavras,2.7635383220702434e-05,86.587918,2025-09-06T15:25:48.776587,2025-09-06T15:27:15.364505,metricas_por_tema__chunk-max__campos-025_todos__simtema-08_tema_02_palavras_miniLM.parquet
max,025_todos,09_tema_01_palavras,2.7492408529097965e-05,86.780029,2025-09-06T15:27:20.370277,2025-09-06T15:28:47.150306,metricas_por_tema__chunk-max__campos-025_todos__simtema-09_tema_01_palavras_miniLM.parquet
max,03_producao_resumo_02_palavra_area,01_tema_09_palavras,2.7865153692473504e-05,87.353495,2025-09-06T15:29:05.322615,2025-09-06T15:30:32.676110,metricas_por_tema__chunk-max__campos-03_producao_resumo_02_palavra_area__simtema-01_tema_09_palavras_miniLM.parquet
max,03_producao_resumo_02_palavra_area,02_tema_08_palavras,2.838668319892346e-05,88.397654,2025-09-06T15:30:37.741389,2025-09-06T15:32:06.139043,metricas_por_tema__chunk-max__campos-03_producao_resumo_02_palavra_area__simtema-02_tema_08_palavras_miniLM.parquet
max,03_producao_resumo_02_palavra_area,03_tema_07_palavras,2.7211686617474565e-05,85.660208,2025-09-06T15:32:11.350259,2025-09-06T15:33:37.010467,metricas_por_tema__chunk-max__campos-03_producao_resumo_02_palavra_area__simtema-03_tema_07_palavras_miniLM.parquet
