chunk_agg_type,source_agg_name,theme_keywords_agg_name,emissions_kg,duration_seconds,start_time,end_time,filename
mean,02_producao_resumo_03_palavra_area,06_tema_04_palavras,3.0762528989570546e-05,90.161938,2025-09-06T16:31:17.013068,2025-09-06T16:32:47.175006,metricas_por_tema__chunk-mean__campos-02_producao_resumo_03_palavra_area__simtema-06_tema_04_palavras_mpnet_base_v2.parquet
mean,02_producao_resumo_03_palavra_area,07_tema_03_palavras,3.0787613666144927e-05,89.397759,2025-09-06T16:32:52.347999,2025-09-06T16:34:21.745758,metricas_por_tema__chunk-mean__campos-02_producao_resumo_03_palavra_area__simtema-07_tema_03_palavras_mpnet_base_v2.parquet
mean,02_producao_resumo_03_palavra_area,08_tema_02_palavras,6.655610668307129e-07,85.049647,2025-09-06T16:34:28.131529,2025-09-06T16:35:53.181176,metricas_por_tema__chunk-mean__campos-02_producao_resumo_03_palavra_area__simtema-08_tema_02_palavras_mpnet_base_v2.parquet
mean,02_producao_resumo_03_palavra_area,09_tema_01_palavras,2.6876315378883912e-05,83.105964,2025-09-06T16:35:58.149392,2025-09-06T16:37:21.255356,metricas_por_tema__chunk-mean__campos-02_producao_resumo_03_palavra_area__simtema-09_tema_01_palavras_mpnet_base_v2.parquet
max,025_todos,01_tema_09_palavras,2.5843954433603968e-05,81.73441,2025-09-06T16:37:38.405515,2025-09-06T16:39:00.139925,metricas_por_tema__chunk-max__campos-025_todos__simtema-01_tema_09_palavras_mpnet_base_v2.parquet
max,025_todos,02_tema_08_palavras,2.7470396389981222e-05,85.216015,2025-09-06T16:39:05.281487,2025-09-06T16:40:30.497502,metricas_por_tema__chunk-max__campos-025_todos__simtema-02_tema_08_palavras_mpnet_base_v2.parquet
max,025_todos,03_tema_07_palavras,3.020746304579286e-05,88.314447,2025-09-06T16:40:35.610198,2025-09-06T16:42:03.924645,metricas_por_tema__chunk-max__campos-025_todos__simtema-03_tema_07_palavras_mpnet_base_v2.parquet
max,025_todos,04_tema_06_palavras,2.8109240329006385e-05,85.977872,2025-09-06T16:42:09.256192,2025-09-06T16:43:35.234064,metricas_por_tema__chunk-max__campos-025_todos__simtema-04_tema_06_palavras_mpnet_base_v2.parquet
max,025_todos,05_tema_05_palavras,2.925935059050262e-05,88.682452,2025-09-06T16:43:40.351832,2025-09-06T16:45:09.034284,metricas_por_tema__chunk-max__campos-025_todos__simtema-05_tema_05_palavras_mpnet_base_v2.parquet
max,025_todos,06_tema_04_palavras,2.783980697340227e-05,86.028765,2025-09-06T16:45:14.138340,2025-09-06T16:46:40.167105,metricas_por_tema__chunk-max__campos-025_todos__simtema-06_tema_04_palavras_mpnet_base_v2.parquet
max,025_todos,07_tema_03_palavras,6.874648700917445e-07,85.696514,2025-09-06T16:46:46.494235,2025-09-06T16:48:12.190749,metricas_por_tema__chunk-max__campos-025_todos__simtema-07_tema_03_palavras_mpnet_base_v2.parquet
max,025_todos,08_tema_02_palavras,2.9276048008388435e-05,86.828001,2025-09-06T16:48:17.461463,2025-09-06T16:49:44.289464,metricas_por_tema__chunk-max__campos-025_todos__simtema-08_tema_02_palavras_mpnet_base_v2.parquet
max,025_todos,09_tema_01_palavras,3.0486469135369355e-05,88.340474,2025-09-06T16:49:49.282938,2025-09-06T16:51:17.623412,metricas_por_tema__chunk-max__campos-025_todos__simtema-09_tema_01_palavras_mpnet_base_v2.parquet
