sim_tema_palavras_agg_tipo,,01_tema_09_palavras,01_tema_09_palavras,01_tema_09_palavras,01_tema_09_palavras,01_tema_09_palavras,02_tema_08_palavras,02_tema_08_palavras,02_tema_08_palavras,02_tema_08_palavras,02_tema_08_palavras,03_tema_07_palavras,03_tema_07_palavras,03_tema_07_palavras,03_tema_07_palavras,03_tema_07_palavras,04_tema_06_palavras,04_tema_06_palavras,04_tema_06_palavras,04_tema_06_palavras,04_tema_06_palavras,05_tema_05_palavras,05_tema_05_palavras,05_tema_05_palavras,05_tema_05_palavras,05_tema_05_palavras,06_tema_04_palavras,06_tema_04_palavras,06_tema_04_palavras,06_tema_04_palavras,06_tema_04_palavras,07_tema_03_palavras,07_tema_03_palavras,07_tema_03_palavras,07_tema_03_palavras,07_tema_03_palavras,08_tema_02_palavras,08_tema_02_palavras,08_tema_02_palavras,08_tema_02_palavras,08_tema_02_palavras,09_tema_01_palavras,09_tema_01_palavras,09_tema_01_palavras,09_tema_01_palavras,09_tema_01_palavras
metric,,threshold,f1_macro_mean,f1_macro_std,f1_NAO_ALTO_mean_assoc,recall_NAO_ALTO_mean_assoc,threshold,f1_macro_mean,f1_macro_std,f1_NAO_ALTO_mean_assoc,recall_NAO_ALTO_mean_assoc,threshold,f1_macro_mean,f1_macro_std,f1_NAO_ALTO_mean_assoc,recall_NAO_ALTO_mean_assoc,threshold,f1_macro_mean,f1_macro_std,f1_NAO_ALTO_mean_assoc,recall_NAO_ALTO_mean_assoc,threshold,f1_macro_mean,f1_macro_std,f1_NAO_ALTO_mean_assoc,recall_NAO_ALTO_mean_assoc,threshold,f1_macro_mean,f1_macro_std,f1_NAO_ALTO_mean_assoc,recall_NAO_ALTO_mean_assoc,threshold,f1_macro_mean,f1_macro_std,f1_NAO_ALTO_mean_assoc,recall_NAO_ALTO_mean_assoc,threshold,f1_macro_mean,f1_macro_std,f1_NAO_ALTO_mean_assoc,recall_NAO_ALTO_mean_assoc,threshold,f1_macro_mean,f1_macro_std,f1_NAO_ALTO_mean_assoc,recall_NAO_ALTO_mean_assoc
chunk_agg_tipo,sources_agg_tipo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
max,025_todos,0.6,0.5163315412979345,0.17172852852601972,0.6854597850944479,0.7780380343944472,0.55,0.5241704464557186,0.17484522711108016,0.6033925269059215,0.6006222916589183,0.55,0.5340003925592899,0.16770104553004173,0.633855358720624,0.6498135337338039,0.55,0.5296348467531652,0.16977106361567385,0.6504823395529251,0.6872125864558982,0.55,0.5275645869003529,0.16755815891518583,0.6677753611339039,0.7254254134940228,0.55,0.5253953381030794,0.16280753817319135,0.6806549004578288,0.7556361274633732,0.5,0.5238496732775756,0.17230977709014655,0.5930796587361078,0.5794943250310126,0.5,0.5284427875337653,0.17664757448130727,0.6127561436629203,0.6159045786595294,0.5,0.5268577818192021,0.1744289775586286,0.6249830799810747,0.6444139613161948
max,02_producao_resumo_03_palavra_area,0.6,0.5118251586137804,0.17054794387132555,0.6823764136113856,0.7732537103847005,0.55,0.5223448972722894,0.1684293959736988,0.6070998042052655,0.6083601317198937,0.55,0.5288686601134165,0.16664086163283737,0.6349005646221816,0.6559179098906798,0.55,0.5248075186004229,0.1682318763186135,0.6505481782063876,0.6932441397549798,0.55,0.5195224382229399,0.16261700653445627,0.6658954261305466,0.7301436155965138,0.5,0.5209807054685349,0.16387131717815814,0.581014690176133,0.5602570097678524,0.5,0.5215756808129876,0.16898899802126116,0.6015977207830316,0.5986983987929229,0.5,0.5233204300184015,0.1701053455272039,0.620555198016958,0.6354080190349463,0.5,0.5209607721936588,0.16909298821289756,0.6357357428740572,0.6664327756781252
max,03_producao_resumo_02_palavra_area,0.6,0.517259881246225,0.17002988161412802,0.6876836042176114,0.7795507693506741,0.55,0.5247848819259957,0.1747488701013832,0.5968233688515501,0.5879302834628919,0.55,0.5331221828583771,0.17251114813290402,0.6257420471793087,0.6362861162287123,0.55,0.5369337596648277,0.17245135022105307,0.6480301447020523,0.6763305120667048,0.55,0.5367078776668425,0.173222334466915,0.6646466434885495,0.7133695046234059,0.55,0.5312397830914447,0.17244496168124906,0.6767862272338543,0.7432029283264767,0.55,0.523607011628126,0.16732193542864876,0.6848437518332906,0.7651157152673848,0.5,0.5273763259299624,0.1803297912233081,0.5973589895533293,0.5869081464632809,0.5,0.5286119590789565,0.17881954886847998,0.6121380354641969,0.6155902206662591
mean,025_todos,0.55,0.5156710461129413,0.17037818820291684,0.6525696219835339,0.7075436194987048,0.55,0.5149098598475812,0.17018675236944342,0.6737092894545166,0.753538959326161,0.55,0.5136367091109553,0.16637484641465897,0.6919563009940919,0.7933478819464396,0.5,0.5241103815516883,0.17209794929272357,0.6109229038883752,0.6186246074957218,0.5,0.525051322296179,0.1724221887681743,0.6340872841632057,0.6608848522701165,0.5,0.5224150849840798,0.16790423692602913,0.65259729018686,0.7019089723826153,0.5,0.5161829186755323,0.16481324730310432,0.6646113814073847,0.7325731493126864,0.5,0.5131458535026446,0.16587917830240115,0.679058424255162,0.7666356329508779,0.45,0.5122120010237127,0.1708412471195694,0.5926604217860493,0.593825354038332
mean,02_producao_resumo_03_palavra_area,0.55,0.5138703807377263,0.1734435485014791,0.6352848641859419,0.6766197836300636,0.55,0.5138240177808333,0.16492344564227218,0.6599999509060678,0.724221967164245,0.55,0.5084891629111886,0.16336382437544011,0.676653973276563,0.7635132369788631,0.5,0.5184361853812776,0.17139805801147767,0.598827217754127,0.5963652841450304,0.5,0.5224502856066751,0.16842349070689963,0.623271220579125,0.6405217052832786,0.5,0.517298433666375,0.16822306988304742,0.6417243701370482,0.6821885659887212,0.5,0.5124341521465997,0.1638452297307272,0.6562418364973538,0.7172348705748212,0.5,0.5114755242497327,0.16255390752932566,0.6711561733604857,0.74867909480849,0.45,0.50716581136563,0.16854709307123003,0.5870582668016991,0.586694424135045
mean,03_producao_resumo_02_palavra_area,0.55,0.5216424750630699,0.1722220783601412,0.673492038507842,0.7446694076846141,0.55,0.5154259808363066,0.16984266625189093,0.6863648565207321,0.7786965612871698,0.5,0.5206362739611581,0.1745618332495766,0.5951969058921537,0.5907673110324544,0.5,0.5252981499625536,0.17461726912091605,0.6184241873242431,0.6335959725021455,0.5,0.5275437598492724,0.16913479038942114,0.6447451446957245,0.6813983590089242,0.5,0.5252455375370634,0.17067184358956103,0.6605421716924552,0.7167929747147712,0.5,0.5225870419339488,0.1677219862681819,0.674762473802733,0.7495900570856521,0.5,0.5160698765222952,0.16729190692948756,0.6846580043145472,0.7747249604435108,0.45,0.5172376044185205,0.17281459282436232,0.5990308261120393,0.6009391372891254
