sim_tema_palavras_agg_tipo,,01_tema_09_palavras,02_tema_08_palavras,03_tema_07_palavras,04_tema_06_palavras,05_tema_05_palavras,06_tema_04_palavras,07_tema_03_palavras,08_tema_02_palavras,09_tema_01_palavras
metric,,f1_macro_std,f1_macro_std,f1_macro_std,f1_macro_std,f1_macro_std,f1_macro_std,f1_macro_std,f1_macro_std,f1_macro_std
chunk_agg_tipo,sources_agg_tipo,,,,,,,,,
max,025_todos,0.17172852852601972,0.17484522711108016,0.16770104553004173,0.16977106361567385,0.16755815891518583,0.16280753817319135,0.17230977709014655,0.17664757448130727,0.1744289775586286
max,02_producao_resumo_03_palavra_area,0.17054794387132555,0.1684293959736988,0.16664086163283737,0.1682318763186135,0.16261700653445627,0.16387131717815814,0.16898899802126116,0.1701053455272039,0.16909298821289756
max,03_producao_resumo_02_palavra_area,0.17002988161412802,0.1747488701013832,0.17251114813290402,0.17245135022105307,0.173222334466915,0.17244496168124906,0.16732193542864876,0.1803297912233081,0.17881954886847998
mean,025_todos,0.17037818820291684,0.17018675236944342,0.16637484641465897,0.17209794929272357,0.1724221887681743,0.16790423692602913,0.16481324730310432,0.16587917830240115,0.1708412471195694
mean,02_producao_resumo_03_palavra_area,0.1734435485014791,0.16492344564227218,0.16336382437544011,0.17139805801147767,0.16842349070689963,0.16822306988304742,0.1638452297307272,0.16255390752932566,0.16854709307123003
mean,03_producao_resumo_02_palavra_area,0.1722220783601412,0.16984266625189093,0.1745618332495766,0.17461726912091605,0.16913479038942114,0.17067184358956103,0.1677219862681819,0.16729190692948756,0.17281459282436232
