sim_tema_palavras_agg_tipo,,01_tema_09_palavras,01_tema_09_palavras,01_tema_09_palavras,01_tema_09_palavras,01_tema_09_palavras,02_tema_08_palavras,02_tema_08_palavras,02_tema_08_palavras,02_tema_08_palavras,02_tema_08_palavras,03_tema_07_palavras,03_tema_07_palavras,03_tema_07_palavras,03_tema_07_palavras,03_tema_07_palavras,04_tema_06_palavras,04_tema_06_palavras,04_tema_06_palavras,04_tema_06_palavras,04_tema_06_palavras,05_tema_05_palavras,05_tema_05_palavras,05_tema_05_palavras,05_tema_05_palavras,05_tema_05_palavras,06_tema_04_palavras,06_tema_04_palavras,06_tema_04_palavras,06_tema_04_palavras,06_tema_04_palavras,07_tema_03_palavras,07_tema_03_palavras,07_tema_03_palavras,07_tema_03_palavras,07_tema_03_palavras,08_tema_02_palavras,08_tema_02_palavras,08_tema_02_palavras,08_tema_02_palavras,08_tema_02_palavras,09_tema_01_palavras,09_tema_01_palavras,09_tema_01_palavras,09_tema_01_palavras,09_tema_01_palavras
metric,,threshold,f1_macro_mean,f1_macro_std,f1_ALTO_mean_assoc,recall_ALTO_mean_assoc,threshold,f1_macro_mean,f1_macro_std,f1_ALTO_mean_assoc,recall_ALTO_mean_assoc,threshold,f1_macro_mean,f1_macro_std,f1_ALTO_mean_assoc,recall_ALTO_mean_assoc,threshold,f1_macro_mean,f1_macro_std,f1_ALTO_mean_assoc,recall_ALTO_mean_assoc,threshold,f1_macro_mean,f1_macro_std,f1_ALTO_mean_assoc,recall_ALTO_mean_assoc,threshold,f1_macro_mean,f1_macro_std,f1_ALTO_mean_assoc,recall_ALTO_mean_assoc,threshold,f1_macro_mean,f1_macro_std,f1_ALTO_mean_assoc,recall_ALTO_mean_assoc,threshold,f1_macro_mean,f1_macro_std,f1_ALTO_mean_assoc,recall_ALTO_mean_assoc,threshold,f1_macro_mean,f1_macro_std,f1_ALTO_mean_assoc,recall_ALTO_mean_assoc
chunk_agg_tipo,sources_agg_tipo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
max,025_todos,0.6,0.5163315412979345,0.17172852852601972,0.34720329750142087,0.34160325133650354,0.55,0.5241704464557186,0.17484522711108016,0.444948366005516,0.5421032872340248,0.55,0.5340003925592899,0.16770104553004173,0.4341454263979556,0.5061374492931787,0.55,0.5296348467531652,0.16977106361567385,0.40878735395340526,0.4563316913688864,0.55,0.5275645869003529,0.16755815891518583,0.38735381266680197,0.41536318788841764,0.55,0.5253953381030794,0.16280753817319135,0.3701357757483298,0.3818959410019516,0.5,0.5238496732775756,0.17230977709014655,0.4546196878190434,0.5674964669536968,0.5,0.5284427875337653,0.17664757448130727,0.4441294314046104,0.5338982521753721,0.5,0.5268577818192021,0.1744289775586286,0.42873248365732936,0.5002471334893176
max,02_producao_resumo_03_palavra_area,0.6,0.5118251586137804,0.17054794387132555,0.34127390361617527,0.33560721248576475,0.55,0.5223448972722894,0.1684293959736988,0.43758999033931323,0.5293043580059651,0.55,0.5288686601134165,0.16664086163283737,0.42283675560465145,0.4880502532504354,0.55,0.5248075186004229,0.1682318763186135,0.39906685899445804,0.4395805301718692,0.55,0.5195224382229399,0.16261700653445627,0.37314945031533303,0.3931486499039504,0.5,0.5209807054685349,0.16387131717815814,0.46094672076093685,0.5860498576089409,0.5,0.5215756808129876,0.16898899802126116,0.4415536408429435,0.5395395014800595,0.5,0.5233204300184015,0.1701053455272039,0.426085662019845,0.5022437556140231,0.5,0.5209607721936588,0.16909298821289756,0.40618580151326034,0.4633071500260648
max,03_producao_resumo_02_palavra_area,0.6,0.517259881246225,0.17002988161412802,0.34683615827483866,0.3462275314068597,0.55,0.5247848819259957,0.1747488701013832,0.45274639500044134,0.5582158747566722,0.55,0.5331221828583771,0.17251114813290402,0.4405023185374453,0.5205514733086851,0.55,0.5369337596648277,0.17245135022105307,0.42583737462760324,0.4824421084564007,0.55,0.5367078776668425,0.173222334466915,0.40876911184513537,0.44529515892891264,0.55,0.5312397830914447,0.17244496168124906,0.3856933389490352,0.40553492994639595,0.55,0.523607011628126,0.16732193542864876,0.36237027142296147,0.3722867407015638,0.5,0.5273763259299624,0.1803297912233081,0.45739366230659556,0.5661403632613676,0.5,0.5286119590789565,0.17881954886847998,0.4450858826937162,0.5329522222449969
mean,025_todos,0.55,0.5156710461129413,0.17037818820291684,0.37877247024234884,0.41192094202539886,0.55,0.5149098598475812,0.17018675236944342,0.35611043024064576,0.3677138451555143,0.55,0.5136367091109553,0.16637484641465897,0.33531711722781865,0.327782719433286,0.5,0.5241103815516883,0.17209794929272357,0.43729785921500136,0.5267513808190993,0.5,0.525051322296179,0.1724221887681743,0.4160153604291524,0.47889400684847716,0.5,0.5224150849840798,0.16790423692602913,0.3922328797812999,0.4302806076669456,0.5,0.5161829186755323,0.16481324730310432,0.3677544559436799,0.3884697559104901,0.5,0.5131458535026446,0.16587917830240115,0.3472332827501271,0.35323588031440106,0.45,0.5122120010237127,0.1708412471195694,0.4317635802613761,0.5305898228987636
mean,02_producao_resumo_03_palavra_area,0.55,0.5138703807377263,0.1734435485014791,0.39245589728951064,0.4375916458618713,0.55,0.5138240177808333,0.16492344564227218,0.3676480846555989,0.3940038990020514,0.55,0.5084891629111886,0.16336382437544011,0.34032435254581433,0.3417321778798176,0.5,0.5184361853812776,0.17139805801147767,0.43804515300842817,0.5376368630732491,0.5,0.5224502856066751,0.16842349070689963,0.421629350634225,0.4934660547402803,0.5,0.517298433666375,0.16822306988304742,0.39287249719570166,0.43966756265185875,0.5,0.5124341521465997,0.1638452297307272,0.36862646779584546,0.39505705728336554,0.5,0.5114755242497327,0.16255390752932566,0.3517948751389797,0.36280015350893174,0.45,0.50716581136563,0.16854709307123003,0.4272733559295608,0.5293703923220413
mean,03_producao_resumo_02_palavra_area,0.55,0.5216424750630699,0.1722220783601412,0.369792911618298,0.38819054380787205,0.55,0.5154259808363066,0.16984266625189093,0.34448710515188113,0.34482043926833267,0.5,0.5206362739611581,0.1745618332495766,0.4460756420301626,0.5497747090499631,0.5,0.5252981499625536,0.17461726912091605,0.4321721126008641,0.5117948559338221,0.5,0.5275437598492724,0.16913479038942114,0.4103423750028201,0.46256591778537043,0.5,0.5252455375370634,0.17067184358956103,0.38994890338167143,0.4217643147339483,0.5,0.5225870419339488,0.1677219862681819,0.37041161006516454,0.38594084533579276,0.5,0.5160698765222952,0.16729190692948756,0.34748174873004334,0.3521501155031113,0.45,0.5172376044185205,0.17281459282436232,0.43544438272500163,0.5319713912552059
