sim_tema_palavras_agg_tipo,,01_tema_09_palavras,02_tema_08_palavras,03_tema_07_palavras,04_tema_06_palavras,05_tema_05_palavras,06_tema_04_palavras,07_tema_03_palavras,08_tema_02_palavras,09_tema_01_palavras
metric,,f1_macro_mean,f1_macro_mean,f1_macro_mean,f1_macro_mean,f1_macro_mean,f1_macro_mean,f1_macro_mean,f1_macro_mean,f1_macro_mean
chunk_agg_tipo,sources_agg_tipo,,,,,,,,,
max,025_todos,0.5163315412979345,0.5241704464557186,0.5340003925592899,0.5296348467531652,0.5275645869003529,0.5253953381030794,0.5238496732775756,0.5284427875337653,0.5268577818192021
max,02_producao_resumo_03_palavra_area,0.5118251586137804,0.5223448972722894,0.5288686601134165,0.5248075186004229,0.5195224382229399,0.5209807054685349,0.5215756808129876,0.5233204300184015,0.5209607721936588
max,03_producao_resumo_02_palavra_area,0.517259881246225,0.5247848819259957,0.5331221828583771,0.5369337596648277,0.5367078776668425,0.5312397830914447,0.523607011628126,0.5273763259299624,0.5286119590789565
mean,025_todos,0.5156710461129413,0.5149098598475812,0.5136367091109553,0.5241103815516883,0.525051322296179,0.5224150849840798,0.5161829186755323,0.5131458535026446,0.5122120010237127
mean,02_producao_resumo_03_palavra_area,0.5138703807377263,0.5138240177808333,0.5084891629111886,0.5184361853812776,0.5224502856066751,0.517298433666375,0.5124341521465997,0.5114755242497327,0.50716581136563
mean,03_producao_resumo_02_palavra_area,0.5216424750630699,0.5154259808363066,0.5206362739611581,0.5252981499625536,0.5275437598492724,0.5252455375370634,0.5225870419339488,0.5160698765222952,0.5172376044185205
