sim_tema_palavras_agg_tipo,,01_tema_09_palavras,02_tema_08_palavras,03_tema_07_palavras,04_tema_06_palavras,05_tema_05_palavras,06_tema_04_palavras,07_tema_03_palavras,08_tema_02_palavras,09_tema_01_palavras
metric,,f1_NAO_ALTO_mean_assoc,f1_NAO_ALTO_mean_assoc,f1_NAO_ALTO_mean_assoc,f1_NAO_ALTO_mean_assoc,f1_NAO_ALTO_mean_assoc,f1_NAO_ALTO_mean_assoc,f1_NAO_ALTO_mean_assoc,f1_NAO_ALTO_mean_assoc,f1_NAO_ALTO_mean_assoc
chunk_agg_tipo,sources_agg_tipo,,,,,,,,,
max,025_todos,0.6854597850944479,0.6033925269059215,0.633855358720624,0.6504823395529251,0.6677753611339039,0.6806549004578288,0.5930796587361078,0.6127561436629203,0.6249830799810747
max,02_producao_resumo_03_palavra_area,0.6823764136113856,0.6070998042052655,0.6349005646221816,0.6505481782063876,0.6658954261305466,0.581014690176133,0.6015977207830316,0.620555198016958,0.6357357428740572
max,03_producao_resumo_02_palavra_area,0.6876836042176114,0.5968233688515501,0.6257420471793087,0.6480301447020523,0.6646466434885495,0.6767862272338543,0.6848437518332906,0.5973589895533293,0.6121380354641969
mean,025_todos,0.6525696219835339,0.6737092894545166,0.6919563009940919,0.6109229038883752,0.6340872841632057,0.65259729018686,0.6646113814073847,0.679058424255162,0.5926604217860493
mean,02_producao_resumo_03_palavra_area,0.6352848641859419,0.6599999509060678,0.676653973276563,0.598827217754127,0.623271220579125,0.6417243701370482,0.6562418364973538,0.6711561733604857,0.5870582668016991
mean,03_producao_resumo_02_palavra_area,0.673492038507842,0.6863648565207321,0.5951969058921537,0.6184241873242431,0.6447451446957245,0.6605421716924552,0.674762473802733,0.6846580043145472,0.5990308261120393
